time_stamp,PRECTOTCORR (mm/hour),T2MDEW (F),PS (kPa),WS2M (m/s),ALLSKY_SFC_SW_DWN (MJ/hr)
6/1/2024 4:00:00,0,43.25,98.42,1.11,0
6/1/2024 5:00:00,0,42.656,98.42,1.1,0
6/1/2024 6:00:00,0,42.458,98.44,1.1,0
6/1/2024 7:00:00,0,42.206,98.46,1.09,0
6/1/2024 8:00:00,0,41.774,98.45,1.09,0
6/1/2024 9:00:00,0,43.88,98.43,0.83,0.17
6/1/2024 10:00:00,0,47.606,98.43,0.12,0.68
6/1/2024 11:00:00,0,47.246,98.43,0.06,1.24
6/1/2024 12:00:00,0,47.3,98.41,0.1,1.84
6/1/2024 13:00:00,0,46.904,98.38,0.13,2.64
6/1/2024 14:00:00,0,47.084,98.33,0.14,3.2
6/1/2024 15:00:00,0,47.876,98.28,0.13,3.26
6/1/2024 16:00:00,0,49.064,98.21,0.11,3.1
6/1/2024 17:00:00,0,50.45,98.13,0.11,3.07
6/1/2024 18:00:00,0,52.196,98.06,0.1,2.68
6/1/2024 19:00:00,0,53.654,98.01,0.08,2.21
6/1/2024 20:00:00,0,53.06,97.96,0.1,1.53
6/1/2024 21:00:00,0,53.402,97.93,0.14,0.92
6/1/2024 22:00:00,0,60.08,97.93,0.26,0.38
6/1/2024 23:00:00,0,58.01,97.93,0.74,0.05
6/2/2024 0:00:00,0,55.886,97.94,0.88,0
6/2/2024 1:00:00,0,55.472,97.91,0.83,0
6/2/2024 2:00:00,0,55.994,97.87,0.43,0
6/2/2024 3:00:00,0,55.958,97.83,0.12,0
6/2/2024 4:00:00,0,56.03,97.79,0.13,0
6/2/2024 5:00:00,0,56.138,97.76,0.12,0
6/2/2024 6:00:00,0,56.552,97.77,0.1,0
6/2/2024 7:00:00,0.01,56.822,97.79,0.09,0
6/2/2024 8:00:00,0.76,57.038,97.82,0.08,0
6/2/2024 9:00:00,3.42,57.146,97.84,0.07,0.04
6/2/2024 10:00:00,6.06,58.01,97.86,0.09,0.2
6/2/2024 11:00:00,5.88,59.162,97.87,0.1,0.43
6/2/2024 12:00:00,3.5,59.882,97.87,0.12,0.43
6/2/2024 13:00:00,4.37,59.324,97.83,0.14,0.55
6/2/2024 14:00:00,5.97,58.586,97.79,0.16,0.71
6/2/2024 15:00:00,7.14,59.126,97.75,0.17,0.65
6/2/2024 16:00:00,6.93,59.918,97.69,0.18,0.81
6/2/2024 17:00:00,5.8,60.53,97.65,0.18,0.82
6/2/2024 18:00:00,5.25,60.926,97.61,0.18,0.92
6/2/2024 19:00:00,4.64,61.196,97.6,0.17,0.58
6/2/2024 20:00:00,3.16,61.484,97.59,0.15,0.24
6/2/2024 21:00:00,2.57,61.952,97.59,0.12,0.16
6/2/2024 22:00:00,2.37,63.158,97.59,0.09,0.08
6/2/2024 23:00:00,1.38,62.402,97.59,0.21,0.01
6/3/2024 0:00:00,1.1,60.548,97.6,0.32,0
6/3/2024 1:00:00,1.31,60.224,97.61,0.21,0
6/3/2024 2:00:00,1.19,59.774,97.6,0.17,0
6/3/2024 3:00:00,1.07,59.432,97.62,0.15,0
6/3/2024 4:00:00,1.04,59.09,97.64,0.08,0
6/3/2024 5:00:00,0.18,58.694,97.65,0.13,0
6/3/2024 6:00:00,0.15,58.1,97.65,0.33,0
6/3/2024 7:00:00,0.12,57.704,97.64,0.68,0
6/3/2024 8:00:00,0.18,57.776,97.63,0.75,0
6/3/2024 9:00:00,0.26,58.586,97.63,0.52,0.1
6/3/2024 10:00:00,0.28,62.186,97.65,0.07,0.38
6/3/2024 11:00:00,1.15,65.912,97.67,0.1,0.66
6/3/2024 12:00:00,0.79,61.862,97.66,0.08,1.04
6/3/2024 13:00:00,0.17,61.16,97.65,0.05,1.43
6/3/2024 14:00:00,0.17,61.286,97.62,0.04,1.91
6/3/2024 15:00:00,0.29,61.34,97.58,0.03,2.3
6/3/2024 16:00:00,0.12,61.286,97.54,0.03,3.08
6/3/2024 17:00:00,0.08,61.322,97.49,0.01,2.85
6/3/2024 18:00:00,0.04,61.394,97.44,0.02,2.76
6/3/2024 19:00:00,0.02,61.592,97.42,0.04,2.27
6/3/2024 20:00:00,0.01,62.438,97.4,0.04,1.8
6/3/2024 21:00:00,0,65.822,97.41,0.13,1.11
6/3/2024 22:00:00,0,65.786,97.45,0.22,0.52
6/3/2024 23:00:00,0,65.102,97.46,0.51,0.06
6/4/2024 0:00:00,0,62.186,97.5,0.64,0
6/4/2024 1:00:00,0,61.394,97.51,0.41,0
6/4/2024 2:00:00,0,60.764,97.5,0.3,0
6/4/2024 3:00:00,0,60.404,97.48,0.15,0
6/4/2024 4:00:00,0.01,60.062,97.47,0.11,0
6/4/2024 5:00:00,0,59.666,97.46,0.1,0
6/4/2024 6:00:00,0,59.378,97.47,0.09,0
6/4/2024 7:00:00,0,59.18,97.52,0.09,0
6/4/2024 8:00:00,0,58.928,97.56,0.09,0
