pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,PS (kPa),WS2M (m/s),pm2.5_atm_LOCREF 189231.csv,pm2.5_atm_consensus_diff_LOCREF 189231.csv,pm2.5_atm_consensus_diff_perc_LOCREF 189231.csv,pm2.5_epa_LOCREF 189231.csv,pm2.5_epa_consensus_diff_LOCREF 189231.csv,pm2.5_epa_consensus_diff_perc_LOCREF 189231.csv,pm2.5_atm_a_b_diff_LOCREF 189231.csv,pm2.5_epa_a_b_diff_LOCREF 189231.csv,pm2.5_atm_LOC22 215379.csv,pm2.5_atm_consensus_diff_LOC22 215379.csv,pm2.5_atm_consensus_diff_perc_LOC22 215379.csv,pm2.5_epa_LOC22 215379.csv,pm2.5_epa_consensus_diff_LOC22 215379.csv,pm2.5_epa_consensus_diff_perc_LOC22 215379.csv,pm2.5_atm_a_b_diff_LOC22 215379.csv,pm2.5_epa_a_b_diff_LOC22 215379.csv,pm2.5_atm_LOC21A 215411.csv,pm2.5_atm_consensus_diff_LOC21A 215411.csv,pm2.5_atm_consensus_diff_perc_LOC21A 215411.csv,pm2.5_epa_LOC21A 215411.csv,pm2.5_epa_consensus_diff_LOC21A 215411.csv,pm2.5_epa_consensus_diff_perc_LOC21A 215411.csv,pm2.5_atm_a_b_diff_LOC21A 215411.csv,pm2.5_epa_a_b_diff_LOC21A 215411.csv,pm2.5_atm_LOC24 215483.csv,pm2.5_atm_consensus_diff_LOC24 215483.csv,pm2.5_atm_consensus_diff_perc_LOC24 215483.csv,pm2.5_epa_LOC24 215483.csv,pm2.5_epa_consensus_diff_LOC24 215483.csv,pm2.5_epa_consensus_diff_perc_LOC24 215483.csv,pm2.5_atm_a_b_diff_LOC24 215483.csv,pm2.5_epa_a_b_diff_LOC24 215483.csv,pm2.5_atm_LOC23 215383.csv,pm2.5_atm_consensus_diff_LOC23 215383.csv,pm2.5_atm_consensus_diff_perc_LOC23 215383.csv,pm2.5_epa_LOC23 215383.csv,pm2.5_epa_consensus_diff_LOC23 215383.csv,pm2.5_epa_consensus_diff_perc_LOC23 215383.csv,pm2.5_atm_a_b_diff_LOC23 215383.csv,pm2.5_epa_a_b_diff_LOC23 215383.csv,pm2.5_atm_LOC25 215401.csv,pm2.5_atm_consensus_diff_LOC25 215401.csv,pm2.5_atm_consensus_diff_perc_LOC25 215401.csv,pm2.5_epa_LOC25 215401.csv,pm2.5_epa_consensus_diff_LOC25 215401.csv,pm2.5_epa_consensus_diff_perc_LOC25 215401.csv,pm2.5_atm_a_b_diff_LOC25 215401.csv,pm2.5_epa_a_b_diff_LOC25 215401.csv,pm2.5_atm_PSRREF1 175065.csv,pm2.5_atm_consensus_diff_PSRREF1 175065.csv,pm2.5_atm_consensus_diff_perc_PSRREF1 175065.csv,pm2.5_epa_PSRREF1 175065.csv,pm2.5_epa_consensus_diff_PSRREF1 175065.csv,pm2.5_epa_consensus_diff_perc_PSRREF1 175065.csv,pm2.5_atm_a_b_diff_PSRREF1 175065.csv,pm2.5_epa_a_b_diff_PSRREF1 175065.csv
0.0,0.0,0.0,,4,0.4286,0.2857,0.5345,1.2472,0.1487,0.0631,0.2512,1.6898,0.1345,0.0871,0.2952,2.1953,65.5143,3.2779,47.3714,1.1856,73.268,21.4878,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:00:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,0.017,-0.017,0.0,0.6903480000000002,-0.5416480000000001,-3.6425554808338947,1.0,0.012903637006263383,0.067,-0.067,0.0,0.044188000000001004,0.104511999999999,0.7028379287155279,1.0,0.7945143477867145,0.0,0.0,0.0,0.0,0.1487,1.0,0.0,0.0,0.023,-0.023,0.0,0.09009200000000073,0.05860799999999927,0.39413584398116525,1.0,0.1337743639834844,0.0,0.0,0.0,0.0,0.1487,1.0,0.0,0.0,0.0,0.0,0.0,0.21595999999999993,-0.06725999999999993,-0.45232010759919256,0.0,0.0,0.0,0.0,0.0,0.0,0.1487,1.0,0.0,0.0
0.0,,,,1,0.7896,0.1337,0.3656,0.463,0.1142,0.0608,0.2467,2.1599,0.0244,0.0028,0.0533,2.1825,66.2,3.3961,46.8286,1.2619,74.6554,22.1524,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:10:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,0.009,-0.009,0.0,0.6689160000000003,-0.5547160000000003,-4.8574080560420345,1.0,0.007050212582746058,0.043,-0.043,0.0,0.0,0.1142,1.0,0.7674418604651164,0.0,0.002,-0.002,0.0,0.0,0.1142,1.0,1.0,0.0,0.003,-0.003,0.0,0.07961200000000046,0.034587999999999536,0.30287215411558266,1.0,0.01974576696980226,0.0,0.0,0.0,0.0,0.1142,1.0,0.0,0.0,0.014,-0.014,0.0,0.050896000000000274,0.06330399999999972,0.5543257443082288,1.0,0.14413706381640934,0.024999999999999998,-0.024999999999999998,0.0,0.0,0.1142,1.0,0.76,0.0
0.2265,0.016,0.1266,0.5588,2,0.4732,0.1118,0.3343,0.7065,0.1139,0.0655,0.256,2.2471,0.4307,0.2836,0.5325,1.2363,67.6286,3.3753,46.0571,1.3649,73.608,21.648,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:20:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,0.316,-0.0895,-0.3951434878587196,0.6918639999999998,-0.5779639999999998,-5.074310798946443,0.06329113924050639,0.01514748563301497,0.30200000000000005,-0.07550000000000004,-0.3333333333333335,0.06558400000000031,0.04831599999999969,0.4241966637401202,0.8609271523178806,1.0,0.094,0.1325,0.5849889624724062,0.0,0.1139,1.0,0.44680851063829796,0.0,0.089,0.1375,0.6070640176600441,0.029220000000000024,0.08467999999999998,0.7434591747146618,0.7977528089887642,1.0,0.137,0.0895,0.3951434878587196,0.0,0.1139,1.0,0.13868613138686134,0.0,0.151,0.07550000000000001,0.33333333333333337,0.01069600000000026,0.10320399999999974,0.9060930640913059,0.24503311258278146,1.0,0.15,0.07650000000000001,0.337748344370861,0.0,0.1139,1.0,0.76,0.0
0.2873,0.0217,0.1472,0.5122,3,0.3127,0.0417,0.2041,0.6527,0.1883,0.0879,0.2966,1.5749,0.267,0.1552,0.394,1.4758,66.7714,3.4204,46.4643,1.2297,72.9574,22.2707,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:30:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,0.456,-0.16870000000000002,-0.5871910894535329,0.834184,-0.645884,-3.430079660116835,0.15789473684210528,0.04522743183758018,0.484,-0.19669999999999999,-0.6846501914375217,0.1764960000000002,0.011803999999999787,0.06268720127456073,0.44628099173553715,0.6412836551536594,0.225,0.062299999999999994,0.2168465019143752,0.0,0.1883,1.0,0.4933333333333334,0.0,0.185,0.1023,0.35607379046293075,0.10602000000000089,0.0822799999999991,0.43696229421136007,0.11351351351351346,0.10379173740803338,0.1975,0.08979999999999999,0.3125652627915071,0.007603999999999722,0.18069600000000027,0.9596176314391942,0.2253164556962025,1.0,0.221,0.0663,0.23076923076923075,0.1938440000000008,-0.005544000000000798,-0.029442379182160375,0.13122171945701355,0.07839293452466893,0.243,0.044300000000000006,0.15419422206752526,0.0,0.1883,1.0,0.6213991769547326,0.0
0.6534,0.0451,0.2123,0.3249,5,0.1463,0.0111,0.1055,0.7208,0.4059,0.1442,0.3797,0.9356,0.2786,0.1242,0.3524,1.2647,66.0857,3.429,45.8286,1.2776,72.5523,24.5146,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:40:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,1.005,-0.3515999999999999,-0.5381083562901744,1.19082,-0.7849200000000001,-1.933776792313378,0.01890547263681594,0.008360625451369895,0.913,-0.25960000000000005,-0.3973063973063974,0.4357719999999996,-0.02987199999999962,-0.07359448139935852,0.253012048192771,0.27776910861643256,0.507,0.14639999999999997,0.22405876951331494,0.06173200000000012,0.34416799999999986,0.847913279132791,0.27416173570019725,1.0,0.558,0.09539999999999993,0.14600550964187317,0.3531920000000004,0.05270799999999959,0.12985464400098445,0.09318996415770607,0.07714784026818186,0.443,0.21039999999999998,0.3220079583715947,0.18949199999999955,0.21640800000000043,0.5331559497413166,0.015801354401805884,0.01935701771051145,0.664,-0.010600000000000054,-0.01622283440465267,0.47769600000000034,-0.07179600000000036,-0.176881005173689,0.18674698795180722,0.1360195605573421,0.597,0.056400000000000006,0.08631772268135905,0.13226800000000027,0.2736319999999997,0.674136486819413,0.18257956448911222,0.43182024374754324
0.8267,0.0258,0.1607,0.1944,6,0.1439,0.0055,0.0744,0.5172,0.5647,0.1108,0.3328,0.5893,0.1344,0.0068,0.0823,0.6125,65.3714,3.3515,45.9429,1.1118,73.0643,24.5237,0.0,96.96,0.27,265.8,9.81,Light,0.0,2024-11-21 00:50:00+00:00,326,-0.622046748440868,0.7829801036770625,3,0,0.0,1.0,96.96,0.27,1.068,-0.24130000000000007,-0.29188339179871786,1.2755520000000002,-0.7108520000000003,-1.2588135293075975,0.13483146067415727,0.059155565590426694,1.048,-0.22130000000000005,-0.26769081891859203,0.6099520000000007,-0.045252000000000736,-0.08013458473525896,0.27290076335877866,0.24569802213944675,0.8340000000000001,-0.007300000000000084,-0.00883028910124602,0.29093599999999986,0.2737640000000001,0.48479546661944417,0.11510791366906477,0.17290400637941042,0.8109999999999999,0.015700000000000047,0.01899116971089881,0.5547240000000002,0.009975999999999763,0.017666017354347023,0.07521578298397041,0.05762144778304222,0.6799999999999999,0.14670000000000005,0.17745252207572282,0.3826399999999994,0.18206000000000055,0.32240127501328236,0.05294117647058821,0.04929960275977367,0.633,0.19369999999999998,0.23430506834401837,0.4786920000000001,0.08600799999999986,0.15230741986895674,0.19115323854660346,0.13245260000167075,0.934,-0.10730000000000006,-0.129793153501875,0.36057599999999956,0.20412400000000042,0.3614733486807162,0.16488222698072807,0.22379747958821497
1.1679,0.0253,0.159,0.1362,7,0.0803,0.0047,0.0684,0.8514,0.7688,0.1278,0.3575,0.465,0.0778,0.0063,0.0791,1.0173,64.8857,3.3702,45.9714,1.2984,73.8146,25.3913,0.0,97.05,0.23,267.5,3.1,Light,0.0,2024-11-21 01:00:00+00:00,326,-0.622046748440868,0.7829801036770625,3,1,0.25881904510252074,0.9659258262890683,97.05,0.23,1.4529999999999998,-0.2850999999999999,-0.24411336587036556,1.5117720000000001,-0.7429720000000001,-0.9664047866805412,0.022711631108052327,0.011438232749382752,1.314,-0.14610000000000012,-0.12509632674030322,0.7665760000000006,0.0022239999999994486,0.002892819979187628,0.13394216133942163,0.12030640145269327,1.078,0.08989999999999987,0.07697576847332809,0.47051200000000026,0.2982879999999998,0.38799167533818907,0.02782931354359928,0.033410412486822756,1.055,0.1129,0.09666923537974142,0.7170600000000005,0.051739999999999564,0.06729968782518153,0.11469194312796203,0.08842216829832894,1.009,0.15890000000000004,0.1360561691925679,0.5722760000000005,0.1965239999999996,0.2556243496357955,0.0465807730426165,0.043035178829795157,1.15,0.017900000000000027,0.015326654679339009,0.85304,-0.08423999999999998,-0.109573361082206,0.020869565217391323,0.014742567757666865,1.116,0.051899999999999835,0.044438736193167086,0.49042399999999997,0.27837600000000007,0.3620915712799168,0.1953405017921147,0.23292497920167107
1.2785,0.0203,0.1424,0.1113,6,0.1045,0.0087,0.0933,0.8934,1.0275,0.1279,0.3577,0.3481,0.073,0.0046,0.0678,0.93,62.6571,3.5359,46.7714,1.3035,74.8157,24.4406,0.0,97.05,0.23,267.5,3.1,Light,0.0,2024-11-21 01:10:00+00:00,326,-0.622046748440868,0.7829801036770625,3,1,0.25881904510252074,0.9659258262890683,97.05,0.23,1.522,-0.24350000000000005,-0.19045756746186943,1.7548079999999997,-0.7273079999999996,-0.707842335766423,0.11300919842312741,0.05136060469293507,1.3940000000000001,-0.11550000000000016,-0.09034024247164658,1.0153760000000007,0.012123999999999358,0.011799513381994508,0.30416068866571017,0.2188115535525756,1.188,0.09050000000000002,0.07078607743449357,0.7177920000000007,0.30970799999999943,0.3014189781021892,0.03872053872053876,0.03358075877134307,1.157,0.12149999999999994,0.09503324208056312,0.9773880000000004,0.05011199999999971,0.04877080291970774,0.03370786516853926,0.02090878954928863,1.157,0.12149999999999994,0.09503324208056312,0.8394680000000001,0.18803199999999998,0.1829995133819951,0.10458081244598098,0.07552878727956304,1.335,-0.056499999999999995,-0.04419241298396558,1.15686,-0.12935999999999992,-0.125897810218978,0.05468164794007487,0.0330653665957851,1.3119999999999998,-0.03349999999999986,-0.026202581149784798,0.7310480000000004,0.2964519999999997,0.28851776155717734,0.08231707317073171,0.07741215351112399
1.7039,0.0427,0.2066,0.1212,6,0.0999,0.0055,0.0742,0.7424,1.3252,0.1446,0.3803,0.287,0.0699,0.0031,0.056,0.8008,61.8571,3.3738,46.319,1.219,75.7817,25.0867,0.0,97.05,0.23,267.5,3.1,Light,0.0,2024-11-21 01:20:00+00:00,326,-0.622046748440868,0.7829801036770625,3,1,0.25881904510252074,0.9659258262890683,97.05,0.23,2.124,-0.42010000000000014,-0.24655202770115625,2.1392160000000007,-0.8140160000000007,-0.6142589797766381,0.12617702448210918,0.06564647983186367,1.8969999999999998,-0.19309999999999983,-0.11332824696284984,1.3479080000000003,-0.022708000000000395,-0.017135526712949288,0.23141802846599893,0.17066149915276121,1.6219999999999999,0.08190000000000008,0.04806620106813785,1.0314080000000008,0.29379199999999916,0.22169634772109809,0.0036991368680640534,0.003048260242309359,1.605,0.09889999999999999,0.05804331240096249,1.24662,0.07857999999999987,0.059296709930576424,0.04548286604361368,0.030684571080200822,1.6175000000000002,0.08639999999999981,0.050707201126826584,1.16697,0.15822999999999987,0.11940084515544815,0.06027820710973726,0.04378004575953135,1.6019999999999999,0.1019000000000001,0.059803979106755153,1.3140079999999998,0.01119200000000009,0.008445517657712112,0.09737827715355808,0.06220966691222584,1.653,0.050899999999999945,0.02987264510828097,1.0304120000000005,0.2947879999999994,0.2224479323875637,0.13490623109497882,0.11340318241635396
1.9522,0.0483,0.2198,0.1126,6,0.0911,0.0057,0.0757,0.8316,1.5355,0.1454,0.3813,0.2483,0.0648,0.0032,0.0562,0.8674,60.9071,3.3878,46.2357,1.3136,76.4743,25.4748,0.0,97.05,0.23,267.5,3.1,Light,0.0,2024-11-21 01:30:00+00:00,326,-0.622046748440868,0.7829801036770625,3,1,0.25881904510252074,0.9659258262890683,97.05,0.23,2.371,-0.41880000000000006,-0.21452720008195886,2.3376040000000002,-0.8021040000000002,-0.522373168349072,0.0417545339519191,0.022191953812536268,2.122,-0.16979999999999995,-0.08697879315643886,1.5520079999999998,-0.016507999999999745,-0.010750895473786874,0.24128180961357207,0.17286508832428707,1.848,0.10419999999999985,0.0533756787214424,1.2015520000000004,0.3339479999999997,0.21748485835232803,0.12554112554112554,0.10117581261568359,1.8290000000000002,0.12319999999999975,0.06310828808523704,1.450196000000001,0.08530399999999916,0.05555454249430098,0.024603608529250975,0.016259871079495405,1.754,0.19819999999999993,0.10152648294232146,1.3462460000000003,0.1892539999999998,0.12325236079452934,0.10319270239452683,0.07045072000213905,1.934,0.018199999999999994,0.009322815285319124,1.5914160000000002,-0.05591600000000008,-0.03641549983718663,0.06411582213029984,0.04082904784167065,1.9769999999999999,-0.024799999999999933,-0.012703616432742513,1.2691480000000004,0.2663519999999997,0.17346271572777577,0.036924633282751626,0.030139904881069775
