cohort,coloc
6.24-9.24,LOCREF_189231.csv.csv
6.24-9.24,LOC13_215475.csv
6.24-9.24,LOC15_215479.csv.csv
6.24-9.24,LOC11_215381.csv.csv
6.24-9.24,LOC12_215481.csv.csv
6.24-9.24,LOC14_215477.csv.csv
9.24-11.24,REF_189231_clean.csv
9.24-11.24,LOC20_215409.csv
9.24-11.24,LOC19_215403.csv
9.24-11.24,LOC18_215377.csv
9.24-11.24,LOC16_215393.csv
9.24-11.24,LOC17_215405.csv
11.24-1.25,LOCREF 189231.csv
11.24-1.25,LOC22 215379.csv
11.24-1.25,LOC21A 215411.csv
11.24-1.25,LOC24 215483.csv
11.24-1.25,LOC23 215383.csv
11.24-1.25,LOC25 215401.csv
11.24-1.25,PSRREF1 175065.csv
12.24-3.25,LOCREF_189231.csv
12.24-3.25,LOC30_245119.csv
12.24-3.25,LOC29_245121.csv
12.24-3.25,LOC28_234891.csv
12.24-3.25,LOC26_245117.csv
12.24-3.25,LOCZ27_243243.csv
12.24-3.25,LOCZ31_243283.csv
3.25-5.25,LOCREF 189231.csv
3.25-5.25,LOC36 243953.csv
3.25-5.25,LOC35 245095.csv
3.25-5.25,LOCZ33 243261.csv
3.25-5.25,LOCPSR2 175049.csv
3.25-5.25,LOCZ37 243265.csv
3.25-5.25,LOC34 233559.csv
4.25-7.25,LOCREF_189231.csv
4.25-7.25,LOC43 243949.csv
4.25-7.25,LOCZ42 243271.csv
4.25-7.25,LOC40 243951.csv
4.25-7.25,LOC38B 234015.csv
4.25-7.25,LOC41 245107.csv
4.25-7.25,LOCREFZ32 243301.csv
4.25-7.25,LOCZ39 243269.csv
