cohort,coloc
6.24-9.24,LOC14_215477.csv.csv
6.24-9.24,LOC11_215381.csv.csv
6.24-9.24,LOC15_215479.csv.csv
6.24-9.24,LOC12_215481.csv.csv
9.24-11.24,LOC16_215393.csv
9.24-11.24,LOC19_215403.csv
9.24-11.24,LOC18_215377.csv
9.24-11.24,LOC20_215409.csv
9.24-11.24,LOC17_215405.csv
12.24-3.25,LOC29_245121.csv
12.24-3.25,LOC26_245117.csv
12.24-3.25,LOC28_234891.csv
12.24-3.25,LOC30_245119.csv
12.24-3.25,LOCZ31_243283.csv
12.24-3.25,LOCZ27_243243.csv
2.25-5.25,LOC35 245095.csv
2.25-5.25,LOC36 243953.csv
2.25-5.25,LOCZ37 243265.csv
2.25-5.25,LOCZ33 243261.csv
2.25-5.25,LOC34 233559.csv
