cohort,monitor,reference_monitor,atm_diff,temp_diff,humid_diff,a_b_overall,a_b_pm_threshold,a_b_overall_perc_time,a_b_pm_threshold_perc_time
4.25-7.25.csv,LOCREF,LOCREF,0,0,0,4.942334583168728,2.855262936061145,1.7722043735102084,0.0
4.25-7.25.csv,LOCREFZ32 243301.csv,LOCREFZ32 243301.csv,0,0,0,10.802279489908788,5.888792251616557,4.5678909060486905,0.019007793195210038
4.25-7.25.csv,LOC43 243949.csv,LOCREF,2.6593075765178122,0.0,0.0,3.1951770311282464,1.7929464369557775,1.1628879779134946,0.0
4.25-7.25.csv,LOC40 243951.csv,LOCREF,2.458605117912694,0.0,0.0,3.625898416209087,1.6945302552578672,1.4222370952898853,0.0
4.25-7.25.csv,LOC38B 234015.csv,LOCREF,2.6091319618665327,0.0,0.0,3.382058253856041,1.3582585895233912,1.3804065924872417,0.0
4.25-7.25.csv,LOC41 245107.csv,LOCREF,3.6628198695434016,0.0,0.0,4.543098054745817,2.7152480788149087,1.305111687442483,0.0
4.25-7.25.csv,LOCZ42 243271.csv,LOCREFZ32 243301.csv,0.9031610637230305,0.0,0.0,8.597325315036898,5.99556727526853,2.225382749100644,0.0
4.25-7.25.csv,LOCZ39 243269.csv,LOCREFZ32 243301.csv,0.5519317611640743,0.0,0.0,3.1186421248587406,1.3715769600732952,1.3553082908056555,0.0
9.24-11.24.csv,LOCREF,LOCREF,0,0,0,3.1186421248587406,1.3715769600732952,1.3553082908056555,0.0
9.24-11.24.csv,LOC20_215409.csv,LOCREF,2.682701202590194,0.0,0.0,5.890444418591896,2.2343397613509297,3.6211699164345403,0.0
9.24-11.24.csv,LOC19_215403.csv,LOCREF,5.550416281221091,0.0,0.0,11.731138628896062,4.951340229947924,11.002785515320335,1.715137956748695
9.24-11.24.csv,LOC18_215377.csv,LOCREF,2.497687326549491,0.0,0.0,5.156810962005061,1.7815386392091774,3.37356855462705,0.0
9.24-11.24.csv,LOC16_215393.csv,LOCREF,2.2201665124884364,0.0,0.0,6.484061371155487,2.0236862680974395,4.023522129371711,0.0
9.24-11.24.csv,LOC17_215405.csv,LOCREF,1.942645698427382,0.0,0.0,7.809551298061929,2.5886445021464555,5.137728257505416,0.0
12.24-3.25.csv,LOCREF,LOCREF,0,0,0,7.809551298061929,2.5886445021464555,5.137728257505416,0.0
12.24-3.25.csv,LOC30_245119.csv,LOCREF,0.9439200444197668,0.0,0.0,6.106887089594108,4.862451393872374,0.650920587688302,0.0
12.24-3.25.csv,LOC29_245121.csv,LOCREF,0.7773459189339256,0.0,0.0,3.580761778488943,2.2900683197577005,0.855495629533197,0.0
12.24-3.25.csv,LOC28_234891.csv,LOCREF,0.7773459189339256,0.0,0.0,3.5131994765726198,2.8420571449036194,0.4463455458434071,0.0
12.24-3.25.csv,LOC26_245117.csv,LOCREF,0.7773459189339256,0.0,0.0,3.49658733193344,2.390756420402897,0.7346103775339409,0.0
12.24-3.25.csv,LOCZ27_243243.csv,LOCREF,0.3331482509716824,0.0,4.497501388117713,3.699626454237137,2.8537174702774277,0.5393342012274502,0.0
12.24-3.25.csv,LOCZ31_243283.csv,LOCREF,0.3331482509716824,0.0,0.055524708495280406,3.67054976326258,2.670461259395973,0.7811047052259624,0.0
3.25-5.25.csv,LOCREF,LOCREF,0,0,0,3.67054976326258,2.670461259395973,0.7811047052259624,0.0
3.25-5.25.csv,LOC36 243953.csv,LOCREF,4.103802051901026,0.0,0.0,4.758503245605376,3.1720284809652695,0.8493427704752275,0.0
3.25-5.25.csv,LOC35 245095.csv,LOCREF,2.776101388050694,0.0,0.0,3.5181370898429507,2.480455927540479,1.122345803842265,1.026598226784881
3.25-5.25.csv,LOCPSR2 175049.csv,LOCREF,0.8449004224502112,0.0,0.0,6.207508152066497,3.8417024190267046,1.8301314459049545,0.0
3.25-5.25.csv,LOC34 233559.csv,LOCREF,2.112251056125528,0.0,0.0,3.6328100756804407,2.323644808892908,0.9201213346814965,0.4413928396272682
3.25-5.25.csv,LOCZ33 243261.csv,LOCREF,0.9052504526252263,0.0,0.0,4.589400464180286,2.538235044403043,1.7087967644084934,0.0
3.25-5.25.csv,LOCZ37 243265.csv,LOCREF,1.6294508147254072,0.0,1.0259505129752564,7.946473803699028,3.8648886685625308,2.5278058645096055,0.0
6.24-9.24.csv,LOCREF,LOCREF,0,0,0,7.946473803699028,3.8648886685625308,2.5278058645096055,0.0
6.24-9.24.csv,LOC13_215475.csv,LOCREF,1.135646687697161,0.0,0.0,2.2813552034025455,1.2493365372460823,0.2840610205155181,0.0
6.24-9.24.csv,LOC15_215479.csv.csv,LOCREF,1.1987381703470033,0.0,0.0,5.947684777776251,4.346020108880266,0.9468700683850605,0.0
6.24-9.24.csv,LOC11_215381.csv.csv,LOCREF,1.3249211356466877,0.0,0.0,2.985461428167305,2.5525199887558343,0.31562335612835346,0.0
6.24-9.24.csv,LOC12_215481.csv.csv,LOCREF,0.2523659305993691,0.0,0.0,8.200087586590998,4.942766629421523,3.619147816938453,0.7509062661833248
6.24-9.24.csv,LOC14_215477.csv.csv,LOCREF,0.9463722397476341,0.0,0.0,2.3538888542746594,1.247690401863517,0.32614413466596526,0.0
11.24-1.25.csv,LOCREF,LOCREF,0,0,0,2.3538888542746594,1.247690401863517,0.32614413466596526,0.0
11.24-1.25.csv,LOC22 215379.csv,LOCREF,1.6780609073958979,0.0,0.0,8.566891611732501,4.078781483319864,4.1040522333920615,0.0
11.24-1.25.csv,LOC21A 215411.csv,LOCREF,1.1187072715972655,0.0,0.0,4.126807556972924,2.6785933898295324,1.274743496735413,0.02158894645941278
11.24-1.25.csv,LOC24 215483.csv,LOCREF,1.740211311373524,0.0,0.0,3.8800185924479336,2.2799067840119847,1.2643797284692715,0.0
11.24-1.25.csv,LOC23 215383.csv,LOCREF,1.8645121193287757,0.0,0.0,6.02422856626027,4.580204168622175,1.2954710332676962,0.0
11.24-1.25.csv,LOC25 215401.csv,LOCREF,1.8645121193287757,0.0,0.0,4.942334583168728,2.855262936061145,1.7722043735102084,0.0
